IndexNumber_Target,ChannelCount_Luminaire,OptimCounter,CCT_Target,Duv_Target,Duv_signed,Luminance_Target,u1976_Target,v1976_Target,Luminance_Actual,u1976_Actual,v1976_Actual,MelanopicRadiance_Actual,CIEx2Degree_Actual,CIEy2Degree_Actual,LuminanceDifference_TargetTOActucal,u1976_Difference_TargetTOActural,v1976_Difference_TargetTOActural,OptimResult_Number,CRI_Actual
1,11,0,2700,0.00600000000000005,0.00600000000000005,140,0.260826332875491,0.535998275778053,140.409171636062,0.260875836206857,0.53600834612462,0.0893787976625558,0.470600392399338,0.429741667629624,0.409171636062496,4.95033313656634e-05,1.00703465669705e-05,1,84.4878995631824
2,11,0,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,140.638195460934,0.2600259069975,0.540306525054573,0.0811038419335893,0.476116711721023,0.43969800975403,0.638195460933758,3.36684342627236e-05,1.4324612506611e-05,1,90.5766761640313
2,11,0,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,140.453819777997,0.260038369118079,0.540310262856227,0.0813575478349,0.476138080375154,0.439699712581928,0.45381977799741,4.61305548420943e-05,1.05868108528639e-05,2,90.4465652531144
2,11,0,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,140.704271146937,0.25998784152697,0.540323954395489,0.0795829399923055,0.476096146419632,0.439757577371553,0.70427114693652,4.3970362673118e-06,3.1047284084762e-06,3,91.2574654264618
2,11,0,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,140.595139741562,0.259997771140738,0.540332649579909,0.0820105507174032,0.476122035821937,0.439771771906271,0.595139741561667,5.5325775011883e-06,1.17999128294022e-05,4,90.0296239248481
2,11,1,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,139.652923180449,0.259953381317009,0.540330623750051,0.0984690258925814,0.476063406188015,0.439791056050853,0.347076819551177,3.88572462279302e-05,9.77408297075932e-06,5,59.3008073099766
2,11,1,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,139.720789578444,0.2599462944032,0.54033471168827,0.0783716845643978,0.476060882662557,0.439804042121862,0.27921042155603,4.59441600367816e-05,1.38620211895812e-05,6,68.1386265403513
2,11,1,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,139.392101466595,0.260006590118507,0.540304123333108,0.0961049829855011,0.47608884589467,0.439702985806028,0.607898533404637,1.43515552695206e-05,1.67263339725388e-05,7,51.8995651346864
2,11,1,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,140.252069655121,0.259955110928267,0.540270947324125,0.102194535434512,0.475973091964631,0.439656134610245,0.252069655121034,3.71276349698246e-05,4.99023429555434e-05,8,70.2009439162998
2,11,1,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,140.193413060435,0.259997359615842,0.540316625971258,0.0808341390407099,0.476096685410232,0.439736012152063,0.19341306043512,5.12105260491724e-06,4.22369582220306e-06,9,68.5487086067835
2,11,1,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,139.365566028516,0.259946634384569,0.54031290710505,0.0798193508867718,0.476027513969456,0.439754893099951,0.63443397148373,4.56041786675576e-05,7.94256202973909e-06,10,61.8292297695675
2,11,1,2700,0.00900000000000005,0.00900000000000005,140,0.259992238563237,0.54032084966708,139.673638817888,0.259972013001948,0.540317928590472,0.0969330969530741,0.476067021181002,0.439752544103153,0.326361182112265,2.02255612891666e-05,2.92107660770924e-06,11,57.4214763688583
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.481414575995,0.258313190789645,0.548927256276593,0.0834656789244441,0.48768569855491,0.460601887731243,0.481414575994563,1.08591490828314e-05,3.87411685409678e-05,1,67.0725954450534
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.79030477427,0.258322545167195,0.54897307464889,0.0834795134412489,0.487772627853414,0.460705758495227,0.790304774269771,1.50477153304518e-06,7.07720375625609e-06,2,66.8874683531086
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.505851801824,0.25834792375711,0.548924242740852,0.083465866304407,0.487725018412916,0.460574565930938,0.50585180182361,2.38738183822029e-05,4.17547042819155e-05,3,67.0813217670522
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.726011535026,0.258280304898408,0.548949531035218,0.0835831583882695,0.487680257265366,0.460674087534056,0.726011535026345,4.37450403195094e-05,1.64664099158163e-05,4,66.9492838891772
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.762888725524,0.258332788971834,0.548944962906374,0.0835834402154956,0.487739654514929,0.460632758270671,0.762888725523766,8.73903310588675e-06,2.1034538760345e-05,5,66.962244091415
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.670055213732,0.258274334519001,0.548942096377383,0.0835797263399195,0.487660478824589,0.460659814069265,0.670055213731672,4.97154197274252e-05,2.39010677511864e-05,6,67.0110450296675
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.94057026923,0.258353837222669,0.548970729219337,0.0835890151901396,0.487808658521092,0.460682016341326,0.940570269230108,2.97872839407076e-05,4.731774202682e-06,7,66.8192478640487
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.688752176213,0.258348013940896,0.548932899301354,0.083579611349828,0.487739303660026,0.460595158664241,0.688752176212972,2.39640021683085e-05,3.30981437797195e-05,8,66.9423207604833
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.691679382013,0.25832864541436,0.548935978401536,0.0835797627149368,0.487719667139707,0.460613730987812,0.691679382013433,4.59547563247398e-06,3.00190435984504e-05,9,66.9810051986133
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.575170632802,0.258370570133112,0.548930419962468,0.0834699638812142,0.487763981620081,0.460576170171795,0.575170632801644,4.65201943841143e-05,3.55774826659161e-05,10,67.0236490679789
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.622426778111,0.25830570277402,0.548929858718477,0.0835757660357676,0.48768041749708,0.460612435922082,0.622426778111475,1.83471647076106e-05,3.61387266566426e-05,11,67.0386291949189
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.679428868047,0.258311230592042,0.548937491780237,0.0835796689298857,0.487699955574493,0.460627437238398,0.679428868047466,1.28193466862325e-05,2.85056648965387e-05,12,66.9766634226696
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.528949009055,0.258281169630358,0.548939590721108,0.0834697395077732,0.487665087124149,0.460649873620759,0.528949009055168,4.28803083704077e-05,2.64067240259847e-05,13,67.0450680930826
4,11,0,2700,0.015,0.015,140,0.258324049938728,0.548965997445134,140.573848891665,0.258337708133364,0.548917404607347,0.0835713289651783,0.487700810365146,0.460564179921052,0.573848891665421,1.3658194636168e-05,4.85928377873535e-05,14,67.0663612929841
17,11,0,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.273362873815,0.263304780525129,0.52302497913665,0.0798410852727742,0.45472038801874,0.401444576859119,0.273362873815216,2.38352871252956e-05,5.57497432307485e-06,1,81.4398609225568
17,11,0,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.734335167467,0.263280716635819,0.5229874216603,0.0749528748741163,0.454639002624442,0.401380587748454,0.734335167467265,4.78991764353287e-05,4.31324506726671e-05,2,88.4532078108471
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.748444057606,0.263346180480589,0.523051126199967,0.0991755127864147,0.454806716642056,0.401477738725351,0.748444057606093,1.75646683351904e-05,2.05720889939753e-05,3,80.9239975278189
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.728381204813,0.263362947292123,0.523005152756152,0.0993744848129214,0.45476270418004,0.401378047566791,0.728381204813275,3.43314798686434e-05,2.54013548208754e-05,4,80.7594406734002
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.776921040693,0.263335773365604,0.523019117203815,0.100029198748637,0.454749501015354,0.401418529541016,0.776921040692628,7.15755335001234e-06,1.14369071576581e-05,5,80.2609722178899
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.63400590537,0.263353258380389,0.523045598444178,0.099002232737627,0.454807515214536,0.401463410672172,0.634005905369833,2.46425681354467e-05,1.50443332053163e-05,6,81.0159387840252
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.720240343127,0.263367869662476,0.523019166539369,0.100689716932785,0.454788191505504,0.401403795936744,0.720240343127273,3.92538502222983e-05,1.13875716035716e-05,7,80.1463133794908
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.585314401341,0.263352305301638,0.523018698329982,0.100130341099312,0.454768809523092,0.401410052043171,0.585314401340923,2.36894893836381e-05,1.18557809906106e-05,8,79.6418098380988
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,140.88171737175,0.263311879212171,0.523077854914495,0.0988700906840516,0.454802761963395,0.40154706586609,0.881717371750028,1.67366000832225e-05,4.73008035222211e-05,9,81.585374803454
17,11,1,2700,0.00300000000000005,-0.00300000000000005,140,0.263328615812254,0.523030554110973,139.907064256112,0.263376618642134,0.523042534306272,0.0883545389972644,0.454831346442858,0.401446485183934,0.0929357438876366,4.80028298803226e-05,1.19801952992438e-05,10,90.6997914273002
18,11,0,2700,0.00600000000000005,-0.00600000000000005,140,0.264162710124509,0.518707980221947,140.611246141827,0.264172659948731,0.518697173034615,0.0925334788235922,0.449793299085951,0.392515196069242,0.611246141826854,9.94982422208857e-06,1.08071873315962e-05,1,87.2865866891319
18,11,0,2700,0.00600000000000005,-0.00600000000000005,140,0.264162710124509,0.518707980221947,140.703157508182,0.264154104413005,0.518666887908984,0.0917963967771455,0.449729950709902,0.392464566936551,0.703157508182187,8.60571150362865e-06,4.10923129628982e-05,2,87.4491580592353
18,11,0,2700,0.00600000000000005,-0.00600000000000005,140,0.264162710124509,0.518707980221947,139.459302198882,0.264204920522773,0.518755093881804,0.108643478316449,0.449910631687955,0.392613483533749,0.540697801118341,4.22103982639643e-05,4.71136598567679e-05,3,77.8984882492246
20,11,0,2700,0.0120000000000001,-0.0120000000000001,140,0.265830898749018,0.510062832443893,140.724276450625,0.265837637819687,0.510098635856973,0.0831699067530021,0.44033528858334,0.375524836836102,0.7242764506247,6.73907066855994e-06,3.58034130801821e-05,1,67.5225542857637
20,11,1,2700,0.0120000000000001,-0.0120000000000001,140,0.265830898749018,0.510062832443893,140.641970313466,0.265846781882392,0.510054470977236,0.0913314064581593,0.440288728020363,0.375439705294466,0.641970313465862,1.58831333740284e-05,8.36146665716964e-06,2,58.4968139268585
20,11,2,2700,0.0120000000000001,-0.0120000000000001,140,0.265830898749018,0.510062832443893,140.694536378544,0.265821658216458,0.510108035486929,0.0821695744537464,0.440328777816103,0.375548778459126,0.694536378544115,9.24053255951796e-06,4.52030430364569e-05,3,85.7473523641167
20,11,3,2700,0.0120000000000001,-0.0120000000000001,140,0.265830898749018,0.510062832443893,139.131826878426,0.26583099796807,0.510027818141214,0.0968714866789066,0.440235712052816,0.375397169885124,0.868173121574387,9.92190522519643e-08,3.50143026792704e-05,4,81.5671474106247
20,11,4,2700,0.0120000000000001,-0.0120000000000001,140,0.265830898749018,0.510062832443893,139.261576343751,0.265833106060925,0.510045018977625,0.083920937169514,0.440260473988136,0.375427968719446,0.73842365624887,2.20731190730961e-06,1.78134662677243e-05,5,92.7579704937929
20,11,4,2700,0.0120000000000001,-0.0120000000000001,140,0.265830898749018,0.510062832443893,140.515078479031,0.265781011126454,0.510022562426264,0.0818793343550033,0.440170411271606,0.375408210624206,0.515078479031075,4.98876225635825e-05,4.02700176287407e-05,6,93.0954248437763
21,11,0,2700,0.015,-0.015,140,0.266664993061272,0.505740258554866,139.904797612456,0.266617475311225,0.505750024286001,0.150905195775004,0.435672845882345,0.367303676264265,0.0952023875437931,4.751775004741e-05,9.76573113542489e-06,1,32.6421377071102
21,11,0,2700,0.015,-0.015,140,0.266664993061272,0.505740258554866,140.670558781958,0.266662930950666,0.505714852762247,0.0892578110352612,0.435681034183257,0.367222427817271,0.67055878195751,2.06211060566064e-06,2.54057926185602e-05,2,86.850711513764
21,11,1,2700,0.015,-0.015,140,0.266664993061272,0.505740258554866,140.824263871416,0.266629688467056,0.505712035368357,0.0879586472009566,0.435638930486397,0.367230673604269,0.824263871416463,3.53045942161345e-05,2.82231865095239e-05,3,91.3223364348609
21,11,1,2700,0.015,-0.015,140,0.266664993061272,0.505740258554866,140.870659098716,0.266651002138754,0.505712408831919,0.0880246157402394,0.435664112585071,0.36722281775699,0.870659098716118,1.39909225178592e-05,2.78497229472263e-05,4,91.2765417780884
21,11,1,2700,0.015,-0.015,140,0.266664993061272,0.505740258554866,140.760696334335,0.266700674783186,0.505706347304309,0.0896216110881888,0.435714024092526,0.367192084488177,0.760696334334625,3.56817219136496e-05,3.39112505575168e-05,5,90.5635326248325
21,11,2,2700,0.015,-0.015,140,0.266664993061272,0.505740258554866,139.860243920495,0.266675503665617,0.505776230492066,0.0907563787585561,0.435773296330692,0.367327452507561,0.139756079505105,1.05106043454817e-05,3.59719371996192e-05,6,89.5208618854129
21,11,2,2700,0.015,-0.015,140,0.266664993061272,0.505740258554866,140.956952963925,0.266663302684075,0.50569972230089,0.0910546977274376,0.435662318797342,0.367195154864204,0.956952963924778,1.69037719716103e-06,4.05362539764864e-05,7,89.6818848523633
22,11,0,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,140.925684641568,0.267524537817548,0.501410312066711,0.145958065153709,0.431291602972533,0.359267658631158,0.925684641567955,2.54504440214687e-05,7.37259912864108e-06,1,41.1743231840495
22,11,0,2700,0.0180000000000002,-0.0180000000000002,140,0.267499087373527,0.50141768466584,139.901847214347,0.267468176595859,0.501466673804885,0.118018661557941,0.431296535700855,0.359387866763803,0.0981527856528146,3.09107776680917e-05,4.89891390447195e-05,2,66.589297321788
